site_id,variable,function,location,witness_kinds,derivation_families,derivation_names,triggers,pointer_names,poc_status,poc_source,poc_id,runner,script_path,script_tracked,evidence,notes
abs2twocomp:x:ruby/bignum.c:3099,x,abs2twocomp,ruby/bignum.c:3099:11:3099:11,intra_pointer_use,other,<expr>|BDIGITS|BIGNUM_DIGITS,bignew_1,ds,candidate,standalone_script,abs2twocomp_compactfree,,tools/poc/poc_abs2twocomp_compactfree.rb,yes,"",""
bigdivrem:y:ruby/bignum.c:5983,y,bigdivrem,ruby/bignum.c:5983:26:5983:26,intra_pointer_use,other,<expr>|BDIGITS|BIGNUM_DIGITS,bignew_1,yds,candidate,standalone_script,bigdivrem_compactfree,,tools/poc/poc_bigdivrem_compactfree.rb,yes,"",""
bigdivrem:z:ruby/bignum.c:5986,z,bigdivrem,ruby/bignum.c:5986:11:5986:11,intra_pointer_use,other,<expr>|BDIGITS|BIGNUM_DIGITS,bignew_1,xds|yds,candidate,standalone_script,bigdivrem_compactfree,,tools/poc/poc_bigdivrem_compactfree.rb,yes,"",""
chunk_i:arg:ruby/enum.c:3871,arg,chunk_i,ruby/enum.c:3871:11:3871:13,intra_pointer_use|passed_to_trigger,array,<expr>|RARRAY_PTR,rb_assoc_new|rb_funcallv,memo,candidate,candidate_runner,chunk_i,tools/poc/poc_missing_candidates_runner.rb,,,"",""
slicebefore_i:arg:ruby/enum.c:4046,arg,slicebefore_i,ruby/enum.c:4046:11:4046:13,passed_to_trigger,array,<expr>|RARRAY_PTR,rb_funcallv,memo,candidate,candidate_runner,slicebefore_i,tools/poc/poc_missing_candidates_runner.rb,,,"",""
sliceafter_i:arg:ruby/enum.c:4292,arg,sliceafter_i,ruby/enum.c:4292:11:4292:13,passed_to_trigger,array,<expr>|RARRAY_PTR,rb_funcallv,memo,candidate,candidate_runner,sliceafter_i,tools/poc/poc_missing_candidates_runner.rb,,,"",""
slicewhen_i:arg:ruby/enum.c:4421,arg,slicewhen_i,ruby/enum.c:4421:11:4421:13,passed_to_trigger,array,<expr>|RARRAY_PTR,rb_funcallv,memo,candidate,candidate_runner,slicewhen_i,tools/poc/poc_missing_candidates_runner.rb,,,"",""
append_method:eargs:ruby/enumerator.c:1168,eargs,append_method,ruby/enumerator.c:1168:19:1168:23,intra_pointer_use,array,<expr>|RARRAY_CONST_PTR|rb_array_const_ptr,... ? ... : ...|rb_hash_foreach|rb_inspect|rb_str_append,argv,confirmed,true_runner,append_method,tools/poc/poc_true_missings_runner.rb,,,corruption in Enumerator#inspect args,""
arith_seq_inspect:eargs:ruby/enumerator.c:4200,eargs,arith_seq_inspect,ruby/enumerator.c:4200:22:4200:26,intra_pointer_use,array,<expr>|RARRAY_CONST_PTR|rb_array_const_ptr,... ? ... : ...|rb_hash_foreach|rb_inspect|rb_str_append,argv,confirmed,true_runner,arith_seq_inspect,tools/poc/poc_true_missings_runner.rb,,,crash/corruption in ArithmeticSequence#inspect,""
rb_warn_m:msgs:ruby/error.c:610,msgs,rb_warn_m,ruby/error.c:610:56:610:59,intra_pointer_use,array,<expr>|RARRAY_CONST_PTR|rb_array_const_ptr,... ? ... : ...|rb_funcallv|rb_str_tmp_new,argv,candidate,candidate_runner,rb_warn_m,tools/poc/poc_missing_candidates_runner.rb,,,"",""
date_s__strptime_internal:vfmt:ruby/ext/date/date_core.c:4331,vfmt,date_s__strptime_internal,ruby/ext/date/date_core.c:4331:17:4331:20,intra_pointer_use,string,<expr>|RSTRING_PTR,rb_hash_new,fmt,candidate,candidate_runner,date_s__strptime_internal,tools/poc/poc_missing_candidates_runner.rb,,,"",""
minus_dd:other:ruby/ext/date/date_core.c:6274,other,minus_dd,ruby/ext/date/date_core.c:6274:28:6274:32,intra_pointer_use,other|typed_data,<expr>|TypedData_Get_Struct|rb_check_typeddata,rb_funcallv,bdat,candidate,candidate_runner,minus_dd,tools/poc/poc_missing_candidates_runner.rb,,,"",""
cmp_dd:other:ruby/ext/date/date_core.c:6708,other,cmp_dd,ruby/ext/date/date_core.c:6708:26:6708:30,intra_pointer_use,other|typed_data,<expr>|TypedData_Get_Struct|rb_check_typeddata,f_eqeq_p,bdat,candidate,candidate_runner,cmp_dd,tools/poc/poc_missing_candidates_runner.rb,,,"",""
function_call:arg_types:ruby/ext/fiddle/function.c:226,arg_types,function_call,ruby/ext/fiddle/function.c:226:11:226:19,intra_pointer_use,other|typed_data,<expr>|TypedData_Get_Struct|rb_check_typeddata,rb_ary_new|rb_ary_push|rb_funcallv,cif,candidate,candidate_runner,function_call,tools/poc/poc_missing_candidates_runner.rb,,,"",""
ossl_ec_point_add:group_v:ruby/ext/openssl/ossl_pkey_ec.c:1460,group_v,ossl_ec_point_add,ruby/ext/openssl/ossl_pkey_ec.c:1460:11:1460:17,intra_pointer_use,other|typed_data,<expr>|TypedData_Get_Struct|rb_check_typeddata,rb_obj_alloc,group|point_self,candidate,candidate_runner,ossl_ec_point_add,tools/poc/poc_missing_candidates_runner.rb,,,"",""
ossl_ec_point_mul:group_v:ruby/ext/openssl/ossl_pkey_ec.c:1499,group_v,ossl_ec_point_mul,ruby/ext/openssl/ossl_pkey_ec.c:1499:11:1499:17,intra_pointer_use,other|typed_data,<expr>|TypedData_Get_Struct|rb_check_typeddata,rb_obj_alloc|rb_scan_args|rb_scan_args_set,group|point_self,candidate,candidate_runner,ossl_ec_point_mul,tools/poc/poc_missing_candidates_runner.rb,,,"",""
ossl_ec_point_mul:result:ruby/ext/openssl/ossl_pkey_ec.c:1500,result,ossl_ec_point_mul,ruby/ext/openssl/ossl_pkey_ec.c:1500:29:1500:34,intra_pointer_use,other|typed_data,<expr>|TypedData_Get_Struct|rb_check_typeddata,rb_scan_args|rb_scan_args_set,point_result,candidate,candidate_runner,ossl_ec_point_mul,tools/poc/poc_missing_candidates_runner.rb,,,"",""
ossl_x509name_add_entry:oid:ruby/ext/openssl/ossl_x509name.c:222,oid,ossl_x509name_add_entry,ruby/ext/openssl/ossl_x509name.c:222:11:222:13,intra_pointer_use,string,<expr>|StringValueCStr|rb_string_value_cstr,rb_funcallv,oid_name,candidate,candidate_runner,ossl_x509name_add_entry,tools/poc/poc_missing_candidates_runner.rb,,,"",""
path_sub_ext:str:ruby/ext/pathname/pathname.c:261,str,path_sub_ext,ruby/ext/pathname/pathname.c:261:11:261:13,passed_to_trigger,string,<expr>|RSTRING_PTR,rb_str_subseq,p,candidate,candidate_runner,path_sub_ext,tools/poc/poc_missing_candidates_runner.rb,,,"",""
start_document_try:self:ruby/ext/psych/psych_emitter.c:151,self,start_document_try,ruby/ext/psych/psych_emitter.c:151:11:151:14,intra_pointer_use,other|typed_data,<expr>|TypedData_Get_Struct|rb_check_typeddata,rb_str_export_to_enc,emitter,candidate,candidate_runner,start_document_try,tools/poc/poc_missing_candidates_runner.rb,,,"",""
make_inspectname:service:ruby/ext/socket/raddrinfo.c:1334,service,make_inspectname,ruby/ext/socket/raddrinfo.c:1334:36:1334:42,passed_to_trigger,string,<expr>|StringValueCStr|rb_string_value_cstr,rb_str_catf,<direct>,candidate,candidate_runner,make_inspectname,tools/poc/poc_missing_candidates_runner.rb,,,"",""
addrinfo_inspect:name:ruby/ext/socket/raddrinfo.c:1966,name,addrinfo_inspect,ruby/ext/socket/raddrinfo.c:1966:15:1966:18,passed_to_trigger,string,<expr>|StringValueCStr|rb_string_value_cstr,rb_str_catf,<direct>,candidate,candidate_runner,addrinfo_inspect,tools/poc/poc_missing_candidates_runner.rb,,,"",""
addrinfo_inspect:name:ruby/ext/socket/raddrinfo.c:1971,name,addrinfo_inspect,ruby/ext/socket/raddrinfo.c:1971:15:1971:18,passed_to_trigger,string,<expr>|StringValueCStr|rb_string_value_cstr,rb_str_catf,<direct>,candidate,candidate_runner,addrinfo_inspect,tools/poc/poc_missing_candidates_runner.rb,,,"",""
